z_seed,hp_seed,pre_mle_cost,post_mle_cost,train_nrmse,test_nrmse,train_nlpd,test_nlpd,iters,best_iter,opt_time,result_file
91,318,0.060934331,0.015769007,9.996355325,10.32809019,1.221483111,1.08129251,12450,12450,52.9290964,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-318.json
91,363,0.030935341,0.021065369,2.72645466,2.215822414,-1.906943679,-2.036081553,1050,1050,25.1561014,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-363.json
91,409,0.043077055,0.025917111,4.931951687,5.005741864,0.038162962,0.168533474,1050,1050,24.5028452,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-409.json
91,454,0.114000566,0.013581041,7.069797814,7.040712982,-2.28117013,-2.457111835,9600,9600,48.6570618,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-454.json
91,500,0.059048261,0.018210661,2.996864542,2.505419776,-0.299344331,-0.733988464,2750,2750,29.260776,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-500.json
91,1234,0.025044447,0.020058952,9.335060418,8.603429794,-0.012114453,-0.192515403,1050,1050,23.0341447,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-91_seed_hp-1234.json
137,1,0.031654391,0.034516126,7.759869099,7.23311007,-0.692597985,-0.873958468,1050,1050,24.5474293,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-1.json
137,10,0.139616325,0.017070718,7.524061948,8.419688046,-0.001767647,0.08144363,4900,4900,33.930007,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-10.json
137,46,0.06595917,0.066011004,4.443689063,3.714936227,-0.992121696,-1.158337116,1050,1050,24.1459698,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-46.json
137,91,0.075717017,0.018496921,12.9379347,13.19330335,1.56317699,1.585761786,1550,1550,23.0849322,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-91.json
137,137,0.107387647,0.02356093,6.57351166,6.989324093,0.843053222,0.664333522,1750,1750,25.9226973,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-137.json
137,182,0.92126137,0.018614886,17.52262115,15.29934555,0.921021223,0.681750536,3100,3100,29.2877472,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-182.json
137,227,0.066051312,0.022687381,13.36357594,13.61574829,0.288917422,0.215565726,5850,5850,37.2050396,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-227.json
137,273,0.038446207,0.018399956,5.541299656,4.829608649,0.810073316,0.804735184,1050,1050,23.3319598,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-273.json
137,318,0.065494739,0.015452154,10.79739183,10.64510345,2.192291737,1.625846505,10600,10600,48.9475333,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-318.json
137,363,0.030856742,0.011582905,2.572259679,2.313409559,-3.256973267,-2.810727358,1050,1050,25.1989238,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-363.json
137,409,0.044043295,0.014437786,8.295333385,9.209251404,0.082996123,0.072091758,1050,1050,24.5934905,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-409.json
137,454,0.115043603,0.011571471,7.671626657,7.472566515,-2.198154688,-2.254532337,9000,9000,47.2125277,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-454.json
137,500,0.058686435,0.016740385,3.124497272,2.945440449,-0.1854669,-1.702548623,3050,3050,29.0942188,C:\Users\abhig\CODEBOX\KoopmanGPO\Figures\SeedSensitivity\Cart_data_20260601\seed_z-137_seed_hp-500.json
